,artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Fiona Apple,Fetch The Bolt Cutters,0.485,0.488,0,-11.34,1,0.171,0.526,2.02e-05,0.0686,0.339,150.856,audio_features,4SdubskbLiOkpsIjRVVsya,spotify:track:4SdubskbLiOkpsIjRVVsya,https://api.spotify.com/v1/tracks/4SdubskbLiOkpsIjRVVsya,https://api.spotify.com/v1/audio-analysis/4SdubskbLiOkpsIjRVVsya,298457,4
1,Phoebe Bridgers,I Know The End,0.328,0.32,1,-10.282,1,0.035,0.324,0.019,0.234,0.259,111.453,audio_features,3cr3oAP4bQFNjZBV7ElKaB,spotify:track:3cr3oAP4bQFNjZBV7ElKaB,https://api.spotify.com/v1/tracks/3cr3oAP4bQFNjZBV7ElKaB,https://api.spotify.com/v1/audio-analysis/3cr3oAP4bQFNjZBV7ElKaB,344693,4
2,Brian Johannesen,Holster Your Silver,0.246,0.334,7,-14.365,1,0.0307,0.0154,0.0116,0.147,0.234,81.33,audio_features,31fwgj2HIy7CnQCBfD2wZ5,spotify:track:31fwgj2HIy7CnQCBfD2wZ5,https://api.spotify.com/v1/tracks/31fwgj2HIy7CnQCBfD2wZ5,https://api.spotify.com/v1/audio-analysis/31fwgj2HIy7CnQCBfD2wZ5,269500,4
3,Waxahatchee,Fire,0.613,0.454,7,-11.808,1,0.0484,0.681,6.65e-06,0.137,0.196,85.075,audio_features,2QUEBOSGpKpL6bzzbQiwwo,spotify:track:2QUEBOSGpKpL6bzzbQiwwo,https://api.spotify.com/v1/tracks/2QUEBOSGpKpL6bzzbQiwwo,https://api.spotify.com/v1/audio-analysis/2QUEBOSGpKpL6bzzbQiwwo,217373,4
4,The Lone Bellow,Count On Me,0.374,0.798,2,-4.66,1,0.111,0.022,6.29e-06,0.403,0.311,152.058,audio_features,5sA7NCo4bHH9stpolSymvz,spotify:track:5sA7NCo4bHH9stpolSymvz,https://api.spotify.com/v1/tracks/5sA7NCo4bHH9stpolSymvz,https://api.spotify.com/v1/audio-analysis/5sA7NCo4bHH9stpolSymvz,160600,4
5,Mt. Joy,Bug Eyes,0.284,0.45,5,-8.696,1,0.0423,0.385,0.0646,0.233,0.182,82.974,audio_features,7Bmd0vPLxSyFFLH7VXm7T2,spotify:track:7Bmd0vPLxSyFFLH7VXm7T2,https://api.spotify.com/v1/tracks/7Bmd0vPLxSyFFLH7VXm7T2,https://api.spotify.com/v1/audio-analysis/7Bmd0vPLxSyFFLH7VXm7T2,303827,4
6,Futurebirds,Waiting On a Call,0.488,0.309,4,-12.463,1,0.0317,0.661,0.00362,0.126,0.0552,122.091,audio_features,3RlB9hIcbnL2WMtdIeDboQ,spotify:track:3RlB9hIcbnL2WMtdIeDboQ,https://api.spotify.com/v1/tracks/3RlB9hIcbnL2WMtdIeDboQ,https://api.spotify.com/v1/audio-analysis/3RlB9hIcbnL2WMtdIeDboQ,353053,4
7,Dave Simonett,You Belong Right Here,0.461,0.51,7,-8.735,1,0.0255,0.537,0.000299,0.106,0.485,79.006,audio_features,7dIiz3ckW8OCCe4gG8N6UC,spotify:track:7dIiz3ckW8OCCe4gG8N6UC,https://api.spotify.com/v1/tracks/7dIiz3ckW8OCCe4gG8N6UC,https://api.spotify.com/v1/audio-analysis/7dIiz3ckW8OCCe4gG8N6UC,250480,4
8,Waxahatchee,Ruby Falls,0.509,0.264,7,-13.329,1,0.0458,0.799,3.8e-06,0.114,0.0727,126.971,audio_features,3vLnuIPl8sYRO54CP4Rn5q,spotify:track:3vLnuIPl8sYRO54CP4Rn5q,https://api.spotify.com/v1/tracks/3vLnuIPl8sYRO54CP4Rn5q,https://api.spotify.com/v1/audio-analysis/3vLnuIPl8sYRO54CP4Rn5q,231133,4
9,Marcus King,Wildflowers & Wine,0.447,0.428,0,-8.64,1,0.0411,0.647,0.000286,0.112,0.329,156.707,audio_features,1l8TpQdbsiQvMB9SuPsaiv,spotify:track:1l8TpQdbsiQvMB9SuPsaiv,https://api.spotify.com/v1/tracks/1l8TpQdbsiQvMB9SuPsaiv,https://api.spotify.com/v1/audio-analysis/1l8TpQdbsiQvMB9SuPsaiv,288120,3
10,Marcus King,Young Man’s Dream,0.465,0.253,2,-11.032,1,0.0313,0.59,0,0.255,0.383,96.123,audio_features,1BwOyRXKzhEthcwqQ8IVq3,spotify:track:1BwOyRXKzhEthcwqQ8IVq3,https://api.spotify.com/v1/tracks/1BwOyRXKzhEthcwqQ8IVq3,https://api.spotify.com/v1/audio-analysis/1BwOyRXKzhEthcwqQ8IVq3,188920,4
11,The Lone Bellow,Wonder,0.565,0.559,0,-7.454,1,0.0296,0.507,1.86e-05,0.111,0.342,92.996,audio_features,7yrc7HqZGrIbpWvilpyzt0,spotify:track:7yrc7HqZGrIbpWvilpyzt0,https://api.spotify.com/v1/tracks/7yrc7HqZGrIbpWvilpyzt0,https://api.spotify.com/v1/audio-analysis/7yrc7HqZGrIbpWvilpyzt0,298987,4
